# Aozora gaiji notation → Unicode mapping (JIS X 0213:2004)
# Source : https://x0213.org/codetable/jisx0213-2004-std.txt
# License: free use/modify/distribute (Project X0213, 2009)
# Format : plane-row-cell<TAB>character<TAB>U+XXXX[+XXXX]
#   plane=1 → Aozora 第3水準1-X-Y
#   plane=2 → Aozora 第4水準2-X-Y
1-1-1	　	3000
1-69-11	絆	7D46
1-69-12	絳	7D73
1-69-13	絖	7D56
1-69-14	絎	7D4E
1-69-15	絲	7D72
1-69-16	絨	7D68
1-69-17	絮	7D6E
1-69-18	絏	7D4F
1-69-19	絣	7D63
1-69-20	經	7D93
1-69-21	綉	7D89
1-69-22	絛	7D5B
1-69-23	綏	7D8F
1-69-24	絽	7D7D
1-69-25	綛	7D9B
1-69-26	綺	7DBA
1-69-27	綮	7DAE
1-69-28	綣	7DA3
1-69-29	綵	7DB5
1-69-30	緇	7DC7
1-69-31	綽	7DBD
1-69-32	綫	7DAB
1-69-33	總	7E3D
1-69-34	綢	7DA2
1-69-35	綯	7DAF
1-69-36	緜	7DDC
1-69-37	綸	7DB8
1-69-38	綟	7D9F
1-69-39	綰	7DB0
1-69-40	緘	7DD8
1-69-41	緝	7DDD
1-69-42	緤	7DE4
1-69-43	緞	7DDE
1-69-44	緻	7DFB
1-69-45	緲	7DF2
1-69-46	緡	7DE1
1-69-47	縅	7E05
1-69-48	縊	7E0A
1-69-49	縣	7E23
1-69-50	縡	7E21
1-69-51	縒	7E12
1-69-52	縱	7E31
1-69-53	縟	7E1F
1-69-54	縉	7E09
1-69-55	縋	7E0B
1-69-56	縢	7E22
1-69-57	繆	7E46
1-69-58	繦	7E66
1-69-59	縻	7E3B
1-69-60	縵	7E35
1-69-61	縹	7E39
1-69-62	繃	7E43
1-69-63	縷	7E37
1-69-64	縲	7E32
1-69-65	縺	7E3A
1-69-66	繧	7E67
1-69-67	繝	7E5D
1-69-68	繖	7E56
1-69-69	繞	7E5E
1-69-70	繙	7E59
1-69-71	繚	7E5A
1-69-72	繹	7E79
1-69-73	繪	7E6A
1-69-74	繩	7E69
1-69-75	繼	7E7C
1-69-76	繻	7E7B
1-69-77	纃	7E83
1-69-78	緕	7DD5
1-69-79	繽	7E7D
1-69-80	辮	8FAE
1-69-81	繿	7E7F
1-69-82	纈	7E88
1-69-83	纉	7E89
1-69-84	續	7E8C
1-69-85	纒	7E92
1-69-86	纐	7E90
1-69-87	纓	7E93
1-69-88	纔	7E94
1-69-89	纖	7E96
1-69-90	纎	7E8E
1-69-91	纛	7E9B
1-69-92	纜	7E9C
1-69-93	缸	7F38
1-69-94	缺	7F3A
1-70-1	罅	7F45
1-70-2	罌	7F4C
1-70-3	罍	7F4D
1-70-4	罎	7F4E
1-70-5	罐	7F50
1-70-6	网	7F51
1-70-7	罕	7F55
1-70-8	罔	7F54
1-70-9	罘	7F58
1-70-10	罟	7F5F
1-70-11	罠	7F60
1-70-12	罨	7F68
1-70-13	罩	7F69
1-70-14	罧	7F67
1-70-15	罸	7F78
1-70-16	羂	7F82
1-70-17	羆	7F86
1-70-18	羃	7F83
1-70-19	羈	7F88
1-70-20	羇	7F87
1-70-21	羌	7F8C
1-70-22	羔	7F94
1-70-23	羞	7F9E
1-70-24	羝	7F9D
1-70-25	羚	7F9A
1-70-26	羣	7FA3
1-70-27	羯	7FAF
1-70-28	羲	7FB2
1-70-29	羹	7FB9
1-70-30	羮	7FAE
1-70-31	羶	7FB6
1-70-32	羸	7FB8
1-70-33	譱	8B71
